"nationality","birthcity","player_cnt"
"USA","Merrimack","1"
"CAN","Charlesbourg","1"
"CHE","Brig","1"
"CAN","Lac-Beauport","1"
"CAN","Lac La Biche","1"
"CZE","Kadan","1"
"USA","Portage","1"
"CAN","Listowel","1"
"USA","Dover","1"
"SWE","Nordingra","1"
"USA","Waterford","1"
"CHE","Olten","1"
"CZE","Chrudim","1"
"USA","Island Park","1"
"USA","Edmond","1"
"USA","Quincy","1"
"SWE","Molnlycke","1"
"CAN","Cobourg","1"
"RUS","Leninogorsk","1"
"USA","Darien","1"
"USA","Effingham","1"
"USA","Trumbull","1"
"CAN","Unity","1"
"CZE","Pelhrimov","1"
"CAN","Vanier","1"
"CAN","Cochrane","1"
"CAN","CALGARY","1"
"DNK","Gentofte","1"
"CAN","Carbonear","1"
"CAN","Rimouski","1"
"CAN","Beaverlodge","1"
"CZE","Omsk","1"
"USA","Newport Beach","1"
"CAN","Truro","1"
"USA","Rumson","1"
"CAN","Niagara Falls","1"
"USA","Biddeford","1"
"SWE","Lulea","1"
"DEU","Schwenningen","1"
"CAN","Bradford","1"
"CAN","Sainte-Marie","1"
"USA","Chambersburg","1"
"CAN","Yarmouth","1"
"USA","Fairport","1"
"CAN","Bobcaygeon","1"
"USA","St. Charles","1"
"CAN","Nesbitt","1"
"USA","Rochester Hills","1"
"SWE","Boras","1"
"USA","Wheaton","1"
"SWE","Winnipeg","1"
"FIN","Lempaala","1"
"DEU","Nuremberg","1"
"USA","Hermantown","1"
"USA","Winston-Salem","1"
"RUS","Maykop","1"
"USA","Winthrop","1"
"CAN","Neepawa","1"
"USA","Parma","1"
"CAN","Grimsby","1"
"USA","Pontiac","1"
"SWE","Lau","1"
"SWE","Västerås","1"
"USA","Millersville","1"
"CAN","Petawawa","1"
"SWE","Smogen","1"
"SWE","Lidingo","1"
"USA","Northbrook","1"
"USA","Methuen","1"
"USA","New Lenox","1"
"USA","Tacoma","1"
"RUS","Riga","1"
"CAN","Rouleau","1"
"USA","Alton","1"
"SWE","Jonstorp","1"
"USA","STILLWATER","1"
"CAN","Battleford","1"
"CAN","Vermilion","1"
"USA","Yardley","1"
"USA","La Mirada","1"
"CAN","Collingwood","1"
"USA","Tonka Bay","1"
"USA","South St. Pau","1"
"CAN","Val-Senneville","1"
"CAN","Stittsville","1"
"CAN","Ste-Agathe-Des-Monts","1"
"USA","Windsor","1"
"USA","Potomac","1"
"USA","Raleigh","1"
"USA","Bayport","1"
"USA","Winnetka","1"
"USA","Glenview","1"
"USA","Gurnee","1"
"CZE","Chomutov","1"
"CAN","West Lorne","1"
"CAN","Morweena","1"
"USA","Marlborough","1"
"CZE","Frydek-Mistek","1"
"CZE","Most","1"
"USA","Commerce","1"
"USA","Plover","1"
"USA","Kansas City","1"
"CAN","Salmon Arm","1"
"CAN","Petrolia","1"
"CAN","Coleman","1"
"USA","Little Falls","1"
"CAN","Athabasca","1"
"CAN","Seria","1"
"SWE","Katrineholm","1"
"CAN","Snowflake","1"
"USA","East Longmeadow","1"
"USA","Reading","1"
"CAN","Forestburg","1"
"CAN","Port Elgin","1"
"CAN","Lafontaine","1"
"SWE","Kvidinge","1"
"USA","Oxford","1"
"USA","Charlotte","1"
"DNK","Esbjerg","1"
"FIN","Tuusula","1"
"USA","La Crescent","1"
"CZE","Slany","1"
"CAN","Flesherton","1"
"USA","Wisconsin Rapids","1"
"CAN","Joliette","1"
"CAN","Steinbach","1"
"USA","West Hills","1"
"CZE","Nove Mesto na Morave","1"
"RUS","Korkino","1"
"CZE","Prerov","1"
"CAN","Comox","1"
"CAN","Davidson","1"
"USA","Riga","1"
"USA","Bonney Lake","1"
"RUS","Lipetsk","1"
"CAN","East St. Paul","1"
"CZE","Havlickuv Brod","1"
"CAN","Humboldt","1"
"CAN","Les Saules","1"
"CAN","Palmerston","1"
"CHE","Winterthur","1"
"USA","New Rochelle","1"
"CAN","Kenora","1"
"USA","New Hartford","1"
"USA","Dearborn Heights","1"
"CAN","Aneroid","1"
"FIN","Kauniainen","1"
"USA","Belmont","1"
"CZE","Frydlant","1"
"USA","North Andover","1"
"CAN","Hearst","1"
"CAN","Val D'or","1"
"USA","Fargo","1"
"USA","Fulton","1"
"CAN","Beauceville","1"
"CAN","Bayfield","1"
"SWE","Tumba","1"
"CAN","Fernie","1"
"CAN","Blackie","1"
"NA","Coral Springs","1"
"USA","Hopkins","1"
"USA","Thunder Bay","1"
"USA","Holland","1"
"RUS","Krasnojarsk","1"
"GBR","Plymouth","1"
"CAN","Oliver","1"
"CAN","Ville Degelis","1"
"USA","Maplewood","1"
"CAN","Barrhead","1"
"CHE","Felben Wellhausen","1"
"USA","Fridley","1"
"USA","Geneva","1"
"FIN","Kirkkonummi","1"
"SWE","Varmdo","1"
"CAN","Leduc","1"
"FIN","Oulunsalo","1"
"USA","San Francisco","1"
"CAN","Estevan","1"
"CHE","Bulach","1"
"SVK","Nitra","1"
"LTU","Elektrenai","1"
"CAN","Rock Forest","1"
"CAN","Niagara on the Lake","1"
"SWE","Osterhaninge","1"
"CZE","Ústí nad Labem","1"
"CAN","Aldergrove","1"
"USA","North Pole","1"
"CAN","Timmins","1"
"SWE","Lugnvik","1"
"CAN","Kleinburg","1"
"FIN","Alvkarleby","1"
"USA","Aliquippa","1"
"CAN","Port Hope","1"
"CAN","Sorel-Tracy","1"
"USA","Boca Raton","1"
"DEU","Munich","1"
"CAN","Mont Saint-Hilaire","1"
"FIN","Haapavesi","1"
"RUS","Tyumen","1"
"CAN","Clinton","1"
"CAN","Belmont","1"
"USA","Chanhassen","1"
"USA","Westminster","1"
"USA","Wethersfield","1"
"CAN","Ste-Martine","1"
"USA","Marquette","1"
"CAN","Lantzville","1"
"USA","Hilton Head Isl.","1"
"CAN","Courtice","1"
"USA","Dearborn Hts.","1"
"USA","Marblehead","1"
"NGA","Okene","1"
"USA","Elmhurst","1"
"SWE","Calgary","1"
"FIN","Imatra","1"
"USA","Livingston","1"
"CAN","Wetaskiwin","1"
"CAN","Houston","1"
"CAN","Punnichy","1"
"CAN","Zabrze","1"
"USA","Bangor","1"
"USA","Fullerton","1"
"CAN","Orillia","1"
"USA","Brentwood","1"
"CAN","Anahim Lake","1"
"USA","Lynnfield","1"
"USA","Quebec City","1"
"CAN","Wilcox","1"
"USA","St. Clair","1"
"NLD","Amsterdam","1"
"USA","Shorewood","1"
"CAN","Salt Lake City","1"
"CAN","St-Esprit","1"
"CAN","Tokyo","1"
"USA","Valencia","1"
"SWE","Kvissleby","1"
"SWE","Köping","1"
"CAN","Lac St. Charles","1"
"CAN","Lively","1"
"CHE","Baar","1"
"USA","Wilmington","1"
"CZE","Mastec Kralove","1"
"CAN","Amos","1"
"CAN","Blyth","1"
"CAN","St. Isidore","1"
"CAN","Chateauguay","1"
"CAN","St-Jean-Richelieu","1"
"USA","Lapeer","1"
"USA","Forest Park","1"
"USA","Minot","1"
"USA","Repentigny","1"
"NOR","Sarpsborg","1"
"SVK","Zilina","1"
"SWE","Vaxjo","1"
"USA","Eden","1"
"USA","Whittier","1"
"USA","Placentia","1"
"USA","Berlin","1"
"USA","Palos","1"
"CAN","Murray River","1"
"USA","Wheat Ridge","1"
"USA","San Ramon","1"
"USA","Flower Mound","1"
"USA","Sturgeon Lake","1"
"GBR","Guildford","1"
"USA","Gardena","1"
"CAN","N. Vancouver","1"
"USA","New Haven","1"
"USA","Westmont","1"
"CAN","Sauble Beach","1"
"CAN","Long Sault","1"
"USA","Cherry Hill","1"
"USA","Tarrytown","1"
"USA","Auburn","1"
"FIN","Karkkila","1"
"FRA","Roubaix","1"
"LVA","Aizkraukle","1"
"NA","Pelhrimov","1"
"USA","Gilbert","1"
"CAN","Porters Lake","1"
"SWE","Halmstad","1"
"CAN","Kamsack","1"
"USA","Woodbridge","1"
"USA","Oak Park","1"
"RUS","Yekaterinburg","1"
"CAN","Consort","1"
"CHE","Burgdorf","1"
"USA","Wakefield","1"
"CAN","Hinton","1"
"CAN","Alfred","1"
"USA","Willingboro","1"
"USA","Ithaca","1"
"CAN","Haliburton","1"
"CAN","St. Sauveur","1"
"USA","East Greenbush","1"
"CAN","Laurier-Station","1"
"USA","Beverly","1"
"DEU","Deggendorf","1"
"USA","Apple Valley","1"
"CAN","Miramichi","1"
"DNK","Rødovre","1"
"USA","Hudson","1"
"USA","Bolton","1"
"USA","North Oaks","1"
"CAN","Elkhorn","1"
"CAN","Roberval","1"
"CAN","Thompson","1"
"RUS","Ryazan","1"
"CHE","Zurich","1"
"CHE","Herisau","1"
"CAN","Elliot Lake","1"
"SWE","Sundbyberg","1"
"CZE","Sternberk","1"
"USA","Villanova","1"
"USA","Natick","1"
"USA","Columbus","1"
"CAN","Millgrove","1"
"USA","Jacksonville","1"
"CZE","Marianske Lazne","1"
"CAN","Murray Hbr.","1"
"CAN","Provost","1"
"CAN","Wallaceburg","1"
"USA","Amherst","1"
"CAN","Quesnel","1"
"CHE","Volketswil","1"
"CAN","Montmagny","1"
"USA","North Bellmore","1"
"SWE","Klagenfurt","1"
"USA","Agawam","1"
"CAN","Drumheller","1"
"USA","Westport","1"
"USA","Charlestown","1"
"USA","Marshfield","1"
"DEU","Fussen","1"
"USA","Lewisville","1"
