player_cnt,nationality,birthcity,city_ascii,iso3,latitude,longitude
2,USA,Park Ridge                                   ,Park Ridge                         ,USA,42.0125,-87.8436
2,SWE,Karlskrona                                   ,Karlskrona                         ,SWE,56.203,15.296
5,USA,Long Beach                                   ,Long Beach                         ,USA,40.5887,-73.666
1,USA,Westmont                                     ,Westmont                           ,USA,33.9417,-118.3018
2,CAN,Campbell River                               ,Campbell River                     ,CAN,50.0171,-125.25
1,CHE,Fribourg                                     ,Fribourg                           ,CHE,46.8,7.15
3,CAN,Orangeville                                  ,Orangeville                        ,CAN,43.9171,-80.0833
1,USA,Oak Park                                     ,Oak Park                           ,USA,42.4649,-83.1824
9,CAN,Brandon                                      ,Brandon                            ,CAN,49.8333,-99.95
2,USA,Winchester                                   ,Winchester                         ,USA,36.1368,-115.1299
1,SWE,Nykoping                                     ,Nykoping                           ,SWE,58.764,17.015
1,USA,Belmont                                      ,Belmont                            ,USA,37.5154,-122.2955
2,CAN,Brockville                                   ,Brockville                         ,CAN,44.5893,-75.6953
1,USA,Belmont                                      ,Belmont                            ,USA,42.396,-71.1795
1,USA,Maplewood                                    ,Maplewood                          ,USA,40.733,-74.2711
1,CAN,Rouyn-Noranda                                ,Rouyn-Noranda                      ,CAN,48.25,-79.0332
2,USA,Massapequa                                   ,Massapequa                         ,USA,40.6676,-73.4706
2,CAN,Fort McMurray                                ,Fort McMurray                      ,CAN,56.7333,-111.3833
1,USA,Albany                                       ,Albany                             ,USA,37.8898,-122.3018
1,USA,North Bellmore                               ,North Bellmore                     ,USA,40.6904,-73.539
1,USA,Morristown                                   ,Morristown                         ,USA,40.7966,-74.4772
2,USA,Brookfield                                   ,Brookfield                         ,USA,41.8245,-87.847
1,USA,Dover                                        ,Dover                              ,USA,40.8859,-74.5597
1,USA,Robbinsdale                                  ,Robbinsdale                        ,USA,45.0261,-93.3332
1,USA,Little Falls                                 ,Little Falls                       ,USA,40.8762,-74.218
1,USA,Saddle Brook                                 ,Saddle Brook                       ,USA,40.9033,-74.0955
1,USA,Forest Park                                  ,Forest Park                        ,USA,41.8683,-87.8157
1,USA,Shorewood                                    ,Shorewood                          ,USA,43.0914,-87.8864
1,USA,Clawson                                      ,Clawson                            ,USA,42.5367,-83.1504
1,CAN,Wetaskiwin                                   ,Wetaskiwin                         ,CAN,52.9666,-113.3833
1,USA,Northbrook                                   ,Northbrook                         ,USA,39.2466,-84.5795
1,USA,Brentwood                                    ,Brentwood                          ,USA,40.3734,-79.9757
